Rank,Player Team (Bye),POS,CBS,Sleeper,RTSports,AVG
210,New York Jets DST (12),DST2,,167,,167.0
211,Isaac Guerendo SF (9),RB67,,206,228,217.0
212,Greg Dulcich DEN (14),TE30,,243,196,219.5
213,Odell Beckham Jr. MIA (6),WR82,,215,225,220.0
214,D'Onta Foreman CLE (10),RB68,,241,200,220.5
215,Gardner Minshew II LV (10),QB33,,253,192,222.5
216,Tank Bigsby JAC (12),RB69,,224,221,222.5
217,Zach Ertz WAS (14),TE31,,247,199,223.0
218,Samaje Perine DEN (14),RB70,,,183,183.0
219,Tucker Kraft GB (10),TE32,,219,231,225.0
220,Michael Mayer LV (10),TE33,,226,235,230.5
221,Javon Baker NE (14),WR83,,212,250,231.0
222,Kenneth Gainwell PHI (5),RB71,,304,198,251.0
223,Baltimore Ravens DST (14),DST3,,201,,201.0
224,Jalin Hyatt NYG (11),WR84,,249,218,233.5
225,AJ Dillon GB (10),RB72,,244,224,234.0
226,Dallas Cowboys DST (7),DST4,,204,,204.0
227,Colby Parkinson LAR (6),TE34,,237,234,235.5
228,Jalen McMillan TB (11),WR85,,210,262,236.0
229,Daniel Bellinger NYG (11),TE35,,299,207,253.0
230,Tyler Boyd TEN (5),WR86,,252,222,237.0
231,Sam Darnold MIN (6),QB34,,291,208,249.5
232,Pittsburgh Steelers DST (9),DST5,,209,,209.0
233,Jacoby Brissett NE (14),QB35,,,210,210.0
234,Kareem Hunt,RB73,,,211,211.0
235,Jelani Woods IND (14),TE36,,236,241,238.5
236,Cleveland Browns DST (10),DST6,,213,,213.0
237,Aidan O'Connell LV (10),QB36,,301,213,257.0
238,Darius Slayton NYG (11),WR87,,251,229,240.0
239,Miles Sanders CAR (11),RB74,,308,215,261.5
240,Philadelphia Eagles DST (5),DST7,,217,,217.0
241,Tampa Bay Buccaneers DST (11),DST8,,218,,218.0
242,Theo Johnson NYG (11),TE37,,238,246,242.0
243,Dylan Laube LV (10),RB75,,245,240,242.5
244,Washington Commanders DST (14),DST9,,220,,220.0
245,Michael Penix Jr. ATL (12),QB37,,285,220,252.5
246,Greg Dortch ARI (11),WR88,,239,248,243.5
247,Kansas City Chiefs DST (6),DST10,,222,,222.0
248,Seattle Seahawks DST (10),DST11,,225,,225.0
249,Kendrick Bourne NE (14),WR89,,254,237,245.5
250,Jalen Tolbert DAL (7),WR90,,240,251,245.5
251,Devontez Walker BAL (14),WR91,,246,245,245.5
252,Hayden Hurst LAC (5),TE38,,296,226,261.0
253,Dalvin Cook,RB76,,,227,227.0
254,Zay Jones ARI (11),WR92,,227,,227.0
255,DJ Chark Jr. LAC (5),WR93,,250,243,246.5
256,Miami Dolphins DST (6),DST12,,228,,228.0
257,Justin Tucker BAL (14),K1,,229,,229.0
258,Harrison Butker KC (6),K2,,230,,230.0
259,Jamaal Williams NO (12),RB77,,305,230,267.5
260,Brandon Aubrey DAL (7),K3,,231,,231.0
261,Dawson Knox BUF (12),TE39,,255,242,248.5
262,Evan McPherson CIN (12),K4,,232,,232.0
263,Calvin Austin III PIT (9),WR94,,,232,232.0
264,Younghoe Koo ATL (12),K5,,233,,233.0
265,Tyler Bass BUF (12),K6,,234,,234.0
266,Jake Elliott PHI (5),K7,,235,,235.0
267,Tyler Higbee LAR (6),TE40,,,236,236.0
268,Elijah Moore CLE (10),WR95,,248,254,251.0
269,K.J. Osborn NE (14),WR96,,303,238,270.5
270,Justice Hill BAL (14),RB78,,282,239,260.5
271,Brenden Rice LAC (5),WR97,,242,,242.0
272,Eric Gray NYG (11),RB79,,,244,244.0
273,Rondale Moore ATL (12),WR98,,257,255,256.0
274,Jauan Jennings SF (9),WR99,,,247,247.0
275,Alec Pierce IND (14),WR100,,,249,249.0
276,Michael Thomas,WR101,,,252,252.0
277,Cordarrelle Patterson PIT (9),RB80,,,253,253.0
278,Charles McClelland,RB81,,256,,256.0
279,Trey Sermon IND (14),RB82,,278,256,267.0
280,Tre Tucker LV (10),WR102,,294,257,275.5
281,Elijah Holyfield,RB83,,258,,258.0
282,A.T. Perry NO (12),WR103,,306,258,282.0
283,Nyheim Hines CLE (10),RB84,,,259,259.0
284,Jake Moody SF (9),K8,,259,,259.0
285,Isaiah Bowser,RB85,,260,,260.0
286,Jonathan Mingo CAR (11),WR104,,295,260,277.5
287,Buffalo Bills DST (12),DST13,,261,,261.0
288,Michael Gallup,WR105,,,261,261.0
289,Jason Sanders MIA (6),K9,,262,,262.0
290,Irv Smith Jr. KC (6),TE41,,,263,263.0
291,Xavier Ubosi,WR106,,263,,263.0
292,Houston Texans DST (14),DST14,,264,,264.0
293,Jeff Wilson Jr. MIA (6),RB86,,,264,264.0
294,Ka'imi Fairbairn HOU (14),K10,,265,,265.0
295,Treylon Burks TEN (5),WR107,,310,265,287.5
296,Tristan Vizcaino,K11,,266,,266.0
297,Cameron Dicker LAC (5),K12,,267,,267.0
298,Scotty Miller PIT (9),WR108,,268,,268.0
299,Las Vegas Raiders DST (10),DST15,,269,,269.0
300,Detroit Lions DST (5),DST16,,270,,270.0
301,Derek Watt,RB87,,271,,271.0
302,Charleston Rambo,WR109,,272,,272.0
303,Daniel Carlson LV (10),K13,,273,,273.0
304,Tennessee Titans DST (5),DST17,,274,,274.0
305,New Orleans Saints DST (12),DST18,,276,,276.0
306,New England Patriots DST (14),DST19,,277,,277.0
307,New York Giants DST (11),DST20,,279,,279.0
308,Chase Claypool BUF (12),WR110,,280,,280.0
309,Noah Gindorff,TE42,,281,,281.0
310,Leroy Watson IV TEN (5),TE43,,283,,283.0
311,Minnesota Vikings DST (6),DST21,,284,,284.0
312,Josh Reynolds DEN (14),WR111,,286,,286.0
313,Evan Hull IND (14),RB88,,287,,287.0
314,Andy Janovich,RB89,,288,,288.0
315,Malik Washington MIA (6),WR112,,289,,289.0
316,Deuce Vaughn DAL (7),RB90,,292,,292.0
317,Elliott Fry,K14,,293,,293.0
318,O.J. Howard,TE44,,297,,297.0
319,Rasheen Ali BAL (14),RB91,,298,,298.0
320,Christopher Dunn,K15,,300,,300.0
321,Mike Glennon,QB38,,302,,302.0
322,Danny Vitale,RB92,,307,,307.0
323,Chicago Bears DST (7),DST22,,309,,309.0
324,Ryan Fitzpatrick,QB39,,311,,311.0
325,Trey Palmer TB (11),WR113,,312,,312.0
326,Los Angeles Rams DST (6),DST23,,313,,313.0
327,Bobby Holly,RB93,,314,,314.0
328,Jason Witten,TE45,,315,,315.0
329,Jacksonville Jaguars DST (12),DST24,,316,,316.0
330,Philip Rivers,QB40,,317,,317.0
331,Jazz Ferguson,WR114,,318,,318.0
332,Jason Myers SEA (10),K16,,319,,319.0
333,Green Bay Packers DST (10),DST25,,320,,320.0
334,Ryan Succop,K17,,321,,321.0
335,Indianapolis Colts DST (14),DST26,,322,,322.0
336,Xavier Gipson NYJ (12),WR115,,323,,323.0
337,Jonathan Brown,K18,,324,,324.0
338,Los Angeles Chargers DST (5),DST27,,326,,326.0
339,Taylor Bertolet,K19,,327,,327.0
340,Kyle Sloter,QB41,,328,,328.0
341,Louis Rees-Zammit KC (6),RB94,,329,,329.0
